Ten_Truyen,Tac_Gia,The_Loai,Tinh_Trang,Luot_Xem,Luot_Sao,Luot_Binh_Luan,Luot_Cam_On,Link
"Chết trốn sau, nữ chủ vì ta nhập ma",Nhân Gian Điềm Chanh,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Báo thù , Tu chân , Hệ thống , Song khiết 🕊️ , Xuyên thư , Cường cường , Chủ thụ , Kiếp trước kiếp này , Thiên chi kiêu tử , Xuyên thành vai ác , Ngược tra , Tương ái tương sát , 1v1 , Qua lại thời không",Hoàn thành,62177,1006,40,428,https://wikicv.net/truyen/chet-tron-sau-nu-chu-vi-ta-nhap-ma-YvNF11S4CFN312e1
Sáng thế thần Tiamat Overlord hành trình,Hương Hạ Ngưng,"Diễn sinh , Bách hợp , Hiện đại , HE , Manga anime , Võng du , Xuyên việt , Thị giác nữ chủ",Hoàn thành,62136,883,37,273,https://wikicv.net/truyen/sang-the-than-tiamat-overlord-hanh-trinh-XqWBbju26zoGOyqV
Ta trói định diệt thế đại BOSS,Hoa Nhạ Trần,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Sinh tồn , Dị thế , Xuyên việt , Dị năng , Hệ thống , Thần tiên yêu quái , Thăng cấp lưu , Đô thị tình duyên , 1v1 , Thị giác nữ chủ",Hoàn thành,62133,2574,11,235,https://wikicv.net/truyen/ta-troi-dinh-diet-the-dai-boss-ZGcjmmHe7BdMNVXz
Xuyên thành nữ chủ số một tình địch sau,Thị Miên,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Xuyên thư , Chủ công , Nữ phụ , Vườn trường , Sảng văn , Nhẹ nhàng",Hoàn thành,62131,721,15,153,https://wikicv.net/truyen/xuyen-thanh-nu-chu-so-mot-tinh-dich-sau-X3yTbmHe7A2CQAs6
Nguyên thần: Ta chuyển sinh thành Ellin,Li Li Li,"Diễn sinh , Bách hợp , Cổ đại , OE , Tình cảm , Võng du , Xuyên việt , Ma pháp , Trọng sinh , Hệ thống , Thần tiên yêu quái , Nam biến nữ , NP , Thăng cấp lưu , Thế giới song song , Mary Sue , Thị giác nữ chủ , Lữ hành , Genshin",Hoàn thành,62114,1432,19,129,https://wikicv.net/truyen/nguyen-than-ta-chuyen-sinh-thanh-ellin-YoRnFjzLcjUM5chj
Cắt đứt nam chủ kia viên tiểu miêu! [ xuyên nhanh ],Thương Dực Chi Lang,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên nhanh , Xuyên thư , Nhẹ nhàng , Hỗ công , Hài hước , Ngược tra , Vả mặt , 1v1",Hoàn thành,62002,839,25,337,https://wikicv.net/truyen/cat-dut-nam-chu-kia-vien-tieu-mieu-xuyen-XXpApju26wEzA%7ECF
"Yuzu tiểu thư, từ luyến ái dưỡng thành trò chơi bắt đầu",Thiếu Nữ Luyến Thượng Tỷ Tỷ,"Nguyên sang , Bách hợp , Hiện đại , OE , Tình cảm , Trọng sinh , Vườn trường , NP , Thị giác nữ chủ",Hoàn thành,61981,2219,55,438,https://wikicv.net/truyen/yuzu-tieu-thu-tu-luyen-ai-duong-thanh-tr-Ytqnbju263%7EitON6
Ma nữ lại có cái gì ý xấu,Vân Kiến Nguyệt,"Nguyên sang , Bách hợp , Cổ đại , Cận đại , Hiện đại , OE , Tình cảm , Ma pháp , Thị giác nữ chủ , Cthulhu , Chữa lành",Hoàn thành,61956,1593,39,627,https://wikicv.net/truyen/ma-nu-lai-co-cai-gi-y-xau-YQ6OKju26z5xExUe
Xuyên thư chi nữ chủ nàng OOC rồi,Đường Hồ Lô Lưỡng Nguyên Nhất Xuyến,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Ngọt văn , Xuyên thư , Nữ phụ , Chủ thụ , Nhẹ nhàng",Hoàn thành,61883,1630,9,491,https://wikicv.net/truyen/xuyen-thu-chi-nu-chu-nang-ooc-roi-Yakgz0bIjhwqXgXQ
Mau xuyên: Đương vai ác xuyên thành ngược văn nữ chủ,Trinh Thiên,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Xuyên nhanh , Sảng văn , Kim bài đề cử 🥇 , Nữ cường , 1v1",Hoàn thành,61800,789,23,173,https://wikicv.net/truyen/mau-xuyen-duong-vai-ac-xuyen-thanh-nguoc-WvJcWDu261txuQkh
Ngươi giống như ta nhãi con mẹ,Thiên Địa Giai Nhập Mộng,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Huyền học , Sinh con , Chủ công , Giới giải trí , Nhẹ nhàng , Linh dị thần quái , 1v1",Hoàn thành,61453,1254,16,189,https://wikicv.net/truyen/nguoi-giong-nhu-ta-nhai-con-me-Y5MiXVS4CFVhd7Q6
Cùng hồ yêu nhị đại phụng nhãi con lóe hôn,Tiếu Lam,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Niên hạ , Sinh con , Chủ công , Nhẹ nhàng , Kim bài đề cử 🥇 , Linh dị thần quái , 1v1",Hoàn thành,61348,381,8,189,https://wikicv.net/truyen/cung-ho-yeu-nhi-dai-phung-nhai-con-loe-h-XbbDXFS4CEZOa2J7
Lãng tử hồi đầu hệ thống [ xuyên nhanh ],Nha Tùng,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên nhanh , Chủ thụ , Cải trang giả dạng , Pháo hôi , Duyên trời tác hợp , Nghịch tập , 1v1",Hoàn thành,61343,1225,33,297,https://wikicv.net/truyen/lang-tu-hoi-dau-he-thong-xuyen-nhanh-XlfSdWHe7FqYu8QS
Khảo vấn quan tiểu thư chỉ nghĩ sờ cá,Tốc Đống Ngọc Mễ,"Nguyên sang , Bách hợp , Cổ đại , OE ,
                     , Dị thế , Ma pháp , NP , Nhẹ nhàng , Hài hước , Tây huyễn , Phương Tây , Thị giác nữ chủ",Còn tiếp,61193,2211,45,286,https://wikicv.net/truyen/khao-van-quan-tieu-thu-chi-nghi-so-ca-YPPlzjzLckpiB%7EI4
Vào nhầm hôn đồ [ giới giải trí ],Tiểu Tiểu Tiểu Tiểu Ô Quy,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Giới giải trí , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , Kim Bảng 🏆",Hoàn thành,61181,211,5,229,https://wikicv.net/truyen/vao-nham-hon-do-gioi-giai-tri-WyW7e%7E8h7Ae%7EuINA
Đại lão xuyên tiến ngược văn sau,Thất Thiên Chiết Hí,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Ngọt văn , Xuyên thư , Chủ công , Hào môn thế gia , Cung đình hầu tước , Sảng văn , 1v1 , Thị giác nữ chủ",Hoàn thành,61038,982,19,409,https://wikicv.net/truyen/dai-lao-xuyen-tien-nguoc-van-sau-YZ14eFS4CDxPEjJV
Xuyên thành ngược văn nữ chủ vai ác tình địch [ xuyên nhanh ],Yến Tam Tài,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , Xuyên thư , Chủ công , Nhẹ nhàng , 1v1",Hoàn thành,61014,1133,45,332,https://wikicv.net/truyen/xuyen-thanh-nguoc-van-nu-chu-vai-ac-tinh-YKc1V1S4CFs_1XuN
Xuyên thành làm ruộng trong sách tra A,Nhược Đào Lý,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Làm ruộng , Song khiết 🕊️ , Niên hạ , Xuyên thư , Chủ công , Duyên trời tác hợp , 1v1",Hoàn thành,61014,1088,10,432,https://wikicv.net/truyen/xuyen-thanh-lam-ruong-trong-sach-tra-a-YeIQlVS4CD1xygcZ
Phân hoá sau đánh dấu đối thủ một mất một còn,Cố Phùng Thâm Thu,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Chủ công , ABO , Vườn trường , Thanh mai trúc mã , Nhẹ nhàng",Hoàn thành,60971,362,8,162,https://wikicv.net/truyen/phan-hoa-sau-danh-dau-doi-thu-mot-mat-mo-YB2PHVS4CBfsgg1C
Ta đem bạch nguyệt quang ảnh hậu làm tới tay [ trọng sinh ],An Tiêu Tô Tô,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Giới giải trí , Nhẹ nhàng",Hoàn thành,60916,1064,8,406,https://wikicv.net/truyen/ta-dem-bach-nguyet-quang-anh-hau-lam-toi-XvMCXTu26xdzv11m
Sở liêu đối tượng tất cả đều hắc hóa như thế nào phá? [ mau xuyên ],Phàm Trần Mộ Phong,"Nguyên sang , Bách hợp , Cổ đại , Cận đại , Hiện đại , Tương lai , HE , Tình cảm , Xuyên việt , Ngọt văn , Hệ thống , Xuyên nhanh , Chủ thụ , Kim bài đề cử 🥇",Hoàn thành,60749,536,7,137,https://wikicv.net/truyen/so-lieu-doi-tuong-tat-ca-deu-hac-hoa-nhu-WKWxl3CVfAUj%7EBta
Alpha tiểu chó săn! ( xuyên thư ),Hàn Nha Tam Xá,"Nguyên sang , Bách hợp , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Song khiết 🕊️ , Niên hạ , Xuyên thư , Tinh tế , Cơ giáp , Chủ công , Hào môn thế gia , ABO , Cường cường , Sảng văn , 1v1",Chưa xác minh,60644,965,39,314,https://wikicv.net/truyen/alpha-tieu-cho-san-xuyen-thu-X9I0clS4CB8u8O9U
"Người ở Honkai, là đê tiện tha hương người",Tư Nặc,"Diễn sinh , Bách hợp , Hiện đại , OE , Tình cảm , Manga anime , Xuyên việt , Ma pháp , Chủ công , Thần thoại , Nhiều CP , Duyên trời tác hợp , Thế giới song song , 1v1 , Thị giác nữ chủ , Honkai",Hoàn thành,60254,1506,42,290,https://wikicv.net/truyen/nguoi-o-honkai-la-de-tien-tha-huong-nguo-YnkOuTzLchWH9DbR
Xuyên thành đoản mệnh pháo hôi nữ,Dã Toán Tiêu Dao,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Ngọt văn , Xuyên thư , Cung đình hầu tước , Sảng văn , Hài hước , Nữ cường , Vả mặt",Hoàn thành,60021,904,12,208,https://wikicv.net/truyen/xuyen-thanh-doan-menh-phao-hoi-nu-XoRCR1S4CEjcylI4
"Honkai 3 viêm luật, khai cục khiêu chiến tân viêm vĩnh châm",Ba Ba,"Diễn sinh , Bách hợp , Hiện đại , OE , Tình cảm , Manga anime , Nam biến nữ , Sảng văn , Thị giác nữ chủ , Chữa lành , Xuyên game , Honkai",Tạm ngưng,59991,762,79,89,https://wikicv.net/truyen/honkai-3-viem-luat-khai-cuc-khieu-chien--YUipWTzLclyEPO7%7E
[ Thần ấn vương tọa ] Đại phù chú sư,Mộc Lân Hề Ngẫu,"Diễn sinh , Bách hợp , Cổ đại , HE , Tình cảm , Huyền huyễn , Song khiết 🕊️ , Thăng cấp lưu , Tây huyễn , 1v1 , Thị giác nữ chủ",Hoàn thành,59900,699,38,245,https://wikicv.net/truyen/than-an-vuong-toa-dai-phu-chu-su-XxLbMju26wi_bbqd
Lực lượng 99999 nhưng là thánh nữ tu sĩ,Ái Lệ Ti Tiểu Tỷ Tỷ,"Nguyên sang , Bách hợp , Cổ đại , OE , Tình cảm , Dị thế , Xuyên việt , Ma pháp , Hệ thống , Thần tiên yêu quái , NP , Tây huyễn , Thị giác nữ chủ , Vô địch lưu , Lữ hành",Còn tiếp,59887,1625,58,204,https://wikicv.net/truyen/luc-luong-99999-nhung-la-thanh-nu-tu-si-ZIhJGmHe7EYiVOrA
Thập phần vừa ý ngươi GL,Thảo Tửu Đích Khiếu Hoa Tử,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Nhẹ nhàng , Hỗ công , Đô thị tình duyên , Cận thủy lâu đài , Ấm áp , 1v1",Hoàn thành,59785,527,4,340,https://wikicv.net/truyen/thap-phan-vua-y-nguoi-gl-XQzhVjzLcnOK_jtW
Hợp lâu chẳng phân biệt,Ngư Sương,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Sinh con , Cẩu huyết , Giới giải trí , Chủ thụ , Nhẹ nhàng , 1v1",Hoàn thành,59778,560,6,215,https://wikicv.net/truyen/hop-lau-chang-phan-biet-Xh9bwFS4CFehgedc
Trọng sinh thạch khí đi làm ruộng,Qua Bất Hàm,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Làm ruộng , Ngọt văn , Trọng sinh",Hoàn thành,59683,521,13,190,https://wikicv.net/truyen/trong-sinh-thach-khi-di-lam-ruong-W0sHl%7E8h7DvPpX40
Ký chủ lại đối nữ xứng động tâm [ xuyên nhanh ],Khương Trầm Dạng,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên nhanh , Chủ công , Sảng văn , Nhẹ nhàng , Ngược tra",Hoàn thành,59681,859,10,185,https://wikicv.net/truyen/ky-chu-lai-doi-nu-xung-dong-tam-xuyen-nh-XppskDzLcjO4PdIi
Ta tưởng một mình mỹ lệ [ xuyên nhanh ],Thất Thương Tế,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , HE , SE , Tình cảm , Xuyên nhanh , Xuyên thư , Nữ phụ , Ngược văn , Cường cường , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , 1v1",Hoàn thành,59635,980,107,308,https://wikicv.net/truyen/ta-tuong-mot-minh-my-le-xuyen-nhanh-Xj4oGFS4CGBiuz4M
Ta Omega vợ trước có điểm không thích hợp,Cáp Tử Bất Hội Cô Cô Cô,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Gương vỡ lại lành , Vườn trường , Nhẹ nhàng , Song trọng sinh",Hoàn thành,59449,637,10,107,https://wikicv.net/truyen/ta-omega-vo-truoc-co-diem-khong-thich-ho-X6zKHVS4CDm8l3te
Lamarck trò chơi,Nhạc Tiểu Vân,"Nguyên sang , Bách hợp , Hiện đại , OE , Tình cảm , Trinh thám , Khoa học viễn tưởng , Huyền huyễn , Tu chân , Ma pháp , Huyết tộc , Vô hạn lưu , Sảng văn , Nữ cường",Hoàn thành,59447,1588,38,345,https://wikicv.net/truyen/lamarck-tro-choi-XvHfpFS4CA6iFT7o
Nguyên soái phu nhân nàng mềm mại nhưng khinh,Công Thụ Kiêm Bị Tiểu Hùng Bảo,"Nguyên sang , Bách hợp , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Xuyên việt , Hệ thống , Tinh tế , Cường cường , Hỗ công , 1v1",Hoàn thành,59339,2117,16,216,https://wikicv.net/truyen/nguyen-soai-phu-nhan-nang-mem-mai-nhung--Y8DmuFS4CBerUtnW
Xuyên thành tượng nữ thần như thế nào phá,Trường Ngư Tức Mặc,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Xuyên việt , Cường cường , Thần thoại , Nhẹ nhàng , Hỗ công , Kiếp trước kiếp này , Tây huyễn , Cận thủy lâu đài , Duyên trời tác hợp , 1v1",Hoàn thành,59312,1526,83,773,https://wikicv.net/truyen/xuyen-thanh-tuong-nu-than-nhu-the-nao-ph-YGjih1S4CFjK9bW_
"Xuyên thư sau, nữ chủ đem ta làm tới tay?",Lạc Tiểu Phái,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Xuyên thư , Chủ công , Vườn trường , Sảng văn , Nhẹ nhàng",Hoàn thành,59303,591,17,221,https://wikicv.net/truyen/xuyen-thu-sau-nu-chu-dem-ta-lam-toi-tay-YB2ka1S4CE92svcD
Trong lời đồn nhị thế tử,Tiểu Bạch NO1,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Xuyên việt , Niên hạ , Chủ công , ABO , Sảng văn , Nhẹ nhàng",Hoàn thành,59289,1196,17,388,https://wikicv.net/truyen/trong-loi-don-nhi-the-tu-YClaJlS4CBEUnk_b
Hệ thống! Ta không làm Thánh Nữ lạp!,Bất Lạc Phong,"Nguyên sang , Bách hợp , Cổ đại , OE ,
                     , Dị thế , Ma pháp , Hệ thống , Nam biến nữ , Tây huyễn , Cải trang giả dạng , Phương Tây , Cthulhu , Áo choàng lưu",Hoàn thành,59163,1410,45,156,https://wikicv.net/truyen/he-thong-ta-khong-lam-thanh-nu-lap-YMyIEzu26w_a7bHs
[ đấu la ] bụi gai chi mộng,Tuyết Hoa Cầu,"Diễn sinh , Bách hợp , Cổ đại , Cận đại , OE , Tình cảm , Manga anime , Huyền huyễn , Dị thế , Xuyên việt , Xuyên thư , Đấu khí , 1v1",Hoàn thành,59052,149,26,7,https://wikicv.net/truyen/dau-la-bui-gai-chi-mong-WoTXEu8h7GB46acu
Xuyên thành bị bắt sủng ái ngược văn nữ chủ vai ác,Cảnh Tiểu Lục,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Xuyên thư , Giới giải trí , Nhẹ nhàng , Đô thị tình duyên",Hoàn thành,58980,509,12,250,https://wikicv.net/truyen/xuyen-thanh-bi-bat-sung-ai-nguoc-van-nu--ZX3WfVS4CCeoLnGY
Ta một chân đá bay nam chủ,Nhất Giác Đoạn Tử.,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , HE , Tình cảm , Ngọt văn , Xuyên nhanh , Giới giải trí , Vườn trường , Chủ thụ , Nhẹ nhàng , Kim bài đề cử 🥇",Hoàn thành,58878,619,14,245,https://wikicv.net/truyen/ta-mot-chan-da-bay-nam-chu-XiSMpVS4CHzQqMZ7
Ảnh hậu trở về mười tám tuyến [ trọng sinh ],Khuynh Sách,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Hào môn thế gia , Giới giải trí , Chủ thụ , Nhẹ nhàng",Hoàn thành,58778,1240,8,161,https://wikicv.net/truyen/anh-hau-tro-ve-muoi-tam-tuyen-trong-sinh-XzbYTFS4CHjhUTje
Cảm hóa ngược văn nữ chủ thất bại,Đông Giao Tiên Sinh,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Ngọt văn , Niên hạ , Xuyên thư , Chủ thụ , Nhẹ nhàng",Hoàn thành,58659,989,17,300,https://wikicv.net/truyen/cam-hoa-nguoc-van-nu-chu-that-bai-YJMPAVS4CHLgYsJi
Artoria muốn đọc hiểu nhân tâm,Biến Hình Cơ Cương,"Diễn sinh , Bách hợp , Cổ đại , Cận đại , Hiện đại , OE , Tình cảm , Manga anime , Khoa học viễn tưởng , Xuyên việt , Ma pháp , Thần tiên yêu quái , Nam biến nữ , NP , Vô hạn lưu , Duyên trời tác hợp , Thế giới song song , Thị giác nữ chủ , Fate , Vô địch lưu , Kimetsu no Yaiba , Lữ hành",Hoàn thành,58626,542,22,99,https://wikicv.net/truyen/artoria-muon-doc-hieu-nhan-tam-Yhpibju26026GGO9
"Người ở Honkai, mới vừa hạ Type Moon, Khoa học Thượng đế",Phế Chỉ Lâu Tử Trứ,"Diễn sinh , Bách hợp , Hiện đại , Tương lai , OE , Manga anime , Khoa học viễn tưởng , Xuyên việt , Ma pháp , Dị năng , Thần thoại , Vô hạn lưu , Thăng cấp lưu , Kiếp trước kiếp này , Thiên chi kiêu tử , Siêu anh hùng , Duyên trời tác hợp , Thế giới song song , Thị giác nữ chủ , Fate , Học bá , Xuyên thành vai chính , Marvel , Lữ hành , Honkai",Hoàn thành,58468,602,47,44,https://wikicv.net/truyen/nguoi-o-honkai-moi-vua-ha-type-moon-khoa-YQAGzjzLciRB8Ikt
Xuyên vì cổ đại pháo hôi chuế A,Lạc Tiểu Phái,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Xuyên thư , 1v1",Hoàn thành,58431,837,10,196,https://wikicv.net/truyen/xuyen-vi-co-dai-phao-hoi-chue-a-Zmv1elS4CB5qGaTl
Xuyên thành Long Ngạo Thiên cô cô sau,Minh Tiểu Thập,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Tiên hiệp , Xuyên thư , Chủ công , Cường cường , Thăng cấp lưu , Nhẹ nhàng",Hoàn thành,58366,1011,14,143,https://wikicv.net/truyen/xuyen-thanh-long-ngao-thien-co-co-sau-YvvHIFS4CAw2IRku
Long châu chi thành Tôn Ngộ Không nữ nhi,Quá Nhất Thiên Toán Nhất Thiên,"Diễn sinh , Bách hợp , Hiện đại , OE , Tình cảm , Manga anime , Trọng sinh , Nam biến nữ , Thị giác nữ chủ , Dragon Ball",Hoàn thành,58348,770,14,119,https://wikicv.net/truyen/long-chau-chi-thanh-ton-ngo-khong-nu-nhi-YkBgpFS4CFnPaPb9
Ta cùng nam chủ đoạt nữ xứng! [ xuyên nhanh ],Đồ Đồ Họa Họa,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Xuyên nhanh , Sảng văn , Nhẹ nhàng , Hỗ công , 1v1",Hoàn thành,58340,1430,15,414,https://wikicv.net/truyen/ta-cung-nam-chu-doat-nu-xung-xuyen-nhanh-YrfYYVS4CH_uqBNu
Ta mới không cần bị hệ thống biến thành nữ chính a,X Hoàn Tỉnh Tiền,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Hệ thống , Nam biến nữ , Vườn trường , NP , Chủ thụ , Nhẹ nhàng , Thị giác nữ chủ , Đoàn sủng",Hoàn thành,58255,1176,3,177,https://wikicv.net/truyen/ta-moi-khong-can-bi-he-thong-bien-thanh--ZnxV9vTaEH2HzAST
Thoát đi bệnh trạng nữ vương ta tựa hồ thực được hoan nghênh,Hàn Sơn Tùng Bách,"Nguyên sang , Bách hợp , Cận đại , OE , Tình cảm , Huyền huyễn , Dị thế , Nam biến nữ , Thị giác nữ chủ",Còn tiếp,58024,832,17,304,https://wikicv.net/truyen/thoat-di-benh-trang-nu-vuong-ta-tua-ho-t-YS8qg1S4CEHT9OFw
Nhang muỗi bài nữ chủ [ xuyên nhanh ],Thương Dực Chi Lang,"Nguyên sang , Bách hợp , Cổ đại , Cận đại , Hiện đại , Tương lai , HE , SE , Tình cảm , Mạt thế , Tu chân , Xuyên việt , Xuyên nhanh , Chủ thụ , Nhẹ nhàng , 1v1",Hoàn thành,58011,669,17,193,https://wikicv.net/truyen/nhang-muoi-bai-nu-chu-xuyen-nhanh-Xz8p_1S4CCB5x76G
Đại sư tỷ một chút đều không vui [xuyên thư],Tình Tự Tán,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Xuyên thư , Nhẹ nhàng , Hài hước",Hoàn thành,57982,280,15,79,https://wikicv.net/truyen/dai-su-ty-mot-chut-deu-khong-vui-xuyen-t-WNPCzu8h7CIpq4Ms
Bị đỉnh lưu O cắn sau hồ A phát hỏa / Làm ta cắn một ngụm,Ứng Đắc Tiêu Hạ Lộc,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Niên hạ , Chủ công , ABO , Giới giải trí , 1v1 , Chậm nhiệt",Hoàn thành,57585,1223,10,103,https://wikicv.net/truyen/bi-dinh-luu-o-can-sau-ho-a-phat-hoa-lam--ZbNfFlS4CDEyxquB
Ở tại ta cách vách túc địch là thư trung ác độc nữ xứng,Hà Vi Đạo,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Chủ công , Đô thị tình duyên",Hoàn thành,57510,794,55,268,https://wikicv.net/truyen/o-tai-ta-cach-vach-tuc-dich-la-thu-trung-XqmojlS4CBTeaqVw
Cứu vớt bị xuyên nữ chủ [ Xuyên nhanh ],Lam Cẩu,"Nguyên sang , Bách hợp , Cổ đại , Cận đại , Hiện đại , HE , OE , Tình cảm , Khoa học viễn tưởng , Hệ thống , Xuyên nhanh , Xuyên thư , Lịch sử , Chủ thụ , Sảng văn , Kiếp trước kiếp này , Nữ cường , 1v1",Hoàn thành,57492,530,12,80,https://wikicv.net/truyen/cuu-vot-bi-xuyen-nu-chu-xuyen-nhanh-W1IKIO8h7GOOLZBM
Nàng là vai chính,Nhiệt Đáo Hôn Quyết,"Nguyên sang , Bách hợp , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Trọng sinh , Giới giải trí , Nhẹ nhàng , Hỗ công",Hoàn thành,57461,564,25,269,https://wikicv.net/truyen/nang-la-vai-chinh-XpQQWFS4CBDHtC0c
Xuyên thành pháo hôi quải chạy nữ xứng,Thiên Địa Giai Nhập Mộng,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Ngọt văn , Xuyên thư , Chủ công , Cường cường , Nhẹ nhàng",Hoàn thành,57413,1120,22,210,https://wikicv.net/truyen/xuyen-thanh-phao-hoi-quai-chay-nu-xung-Y7Qqfzu26xYwKTPt
"Đều nói, ngốc mao không phải bản thể",Dư Thiên Phồn Tinh,"Diễn sinh , Bách hợp , Hiện đại , HE , Manga anime , Ma pháp , Nhẹ nhàng , Hài hước , Duyên trời tác hợp , Thế giới song song , Thị giác nữ chủ , Fate , Đế vương , Trạch nữ",Hoàn thành,57315,1168,11,215,https://wikicv.net/truyen/deu-noi-ngoc-mao-khong-phai-ban-the-YNC7yDu26wy0_wES
Thịnh Đường nữ đế,Cực Dịch,"Nguyên sang , Bách hợp , Cổ đại , HE , Tình cảm , Võ hiệp , Tranh bá , Xuyên việt , Hệ thống , Nam biến nữ , NP , Lịch sử , Cung đình hầu tước , Nhẹ nhàng , Hài hước , Thị giác nữ chủ",Tạm ngưng,57296,1636,15,159,https://wikicv.net/truyen/thinh-duong-nu-de-XztJAVS4CEX6WZlu
Sử thượng mạnh nhất Eriri,Đạm Phàm,"Diễn sinh , Bách hợp , Cổ đại , Hiện đại , HE , Tình cảm , Manga anime , Xuyên việt , Ma pháp , Thần tiên yêu quái , Nam biến nữ , Huyết tộc , Vườn trường , NP , Vô hạn lưu , Nhẹ nhàng , Hài hước , Thế giới song song , Thị giác nữ chủ , Vô địch lưu , Xuyên thành vai chính , Trạch nữ , Lữ hành , Group chat",Tạm ngưng,57296,1180,48,231,https://wikicv.net/truyen/su-thuong-manh-nhat-eriri-YNk8hEbIjjmUJtvx
Khen thưởng một cái vai ác lão bà [ xuyên nhanh ],Trà Dữ Phi Ngư,"Nguyên sang , Bách hợp , Cổ đại , Hiện đại , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên nhanh , Chủ công , Sảng văn , Nhẹ nhàng",Hoàn thành,57150,1299,28,222,https://wikicv.net/truyen/khen-thuong-mot-cai-vai-ac-lao-ba-xuyen--YmnolFS4CBQQonzX
Không thể hiểu được thành đoàn sủng 【 đấu la 】,Mạc Đẳng Nhàn Canh,"Diễn sinh , Bách hợp , Tương lai , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên thư , Chủ thụ , Nhẹ nhàng , Manh sủng , Đấu La đại lục , Đoàn sủng",Hoàn thành,57101,1310,20,404,https://wikicv.net/truyen/khong-the-hieu-duoc-thanh-doan-sung-dau--ZQcfJVS4CDxEAsEg
Black★Rock Shooter hằng ngày sẽ không có vấn đề,Sái Gia Yếu Tửu,"Diễn sinh , Bách hợp , Cổ đại , Hiện đại , HE , Manga anime , Xuyên việt , Ma pháp , Vườn trường , NP , Thần thoại , Vị diện , Vô hạn lưu , Thăng cấp lưu , Sảng văn , Nhẹ nhàng , Hài hước , Ấm áp , Duyên trời tác hợp , Thế giới song song , Linh dị thần quái , Thị giác nữ chủ , Fate , Vô địch lưu , Xuyên thành vai chính , Kimetsu no Yaiba , Lữ hành",Hoàn thành,57098,1269,23,223,https://wikicv.net/truyen/blackrock-shooter-hang-ngay-se-khong-co--YEltiTzLckMc_kos
